date,country,os,browser,market_share
2025-03,Australia,Android,Chrome,58.276
2025-03,Australia,Android,Samsung Internet,12.865
2025-03,Australia,Android,Facebook,11.127
2025-03,Australia,Android,Chrome Mobile WebView,11.031
2025-03,Australia,Android,Instagram,2.486
2025-03,Australia,Android,Firefox,1.304
2025-03,Australia,Android,Brave,0.916
2025-03,Australia,Android,Edge,0.593
2025-03,Australia,Android,DuckDuckGo,0.583
2025-03,Australia,Android,TikTok,0.208
2025-03,Australia,Android,Opera,0.2
2025-03,Australia,Android,Aloha Browser,0.077
2025-03,Australia,Android,Ecosia,0.051
2025-03,Australia,Android,Huawei Browser,0.045
2025-03,Australia,Android,UC Browser,0.04
2025-03,Australia,Android,Oculus Browser,0.031
2025-03,Australia,Android,Yandex Browser,0.03
2025-03,Australia,Android,Mi Browser,0.029
2025-03,Australia,Android,Snapchat,0.022
2025-03,Australia,Android,QQ Browser,0.016
2025-03,Australia,Android,VivoBrowser,0.016
2025-03,Australia,Android,Whale,0.012
2025-03,Australia,Android,Pinterest,0.011
2025-03,Australia,Android,Twitter,0.01
2025-03,Australia,Android,KakaoTalk,0.009
2025-03,Australia,Android,Instabridge,0.007
2025-03,Australia,Android,Other,0.003
2025-03,Australia,Android,HiBrowser,0.002
2025-03,Australia,Android,Mobile Safari UI/WKWebView,0.001
2025-03,Australia,Desktop,Chrome,67.784
2025-03,Australia,Desktop,Edge,13.427
2025-03,Australia,Desktop,Safari,10.379
2025-03,Australia,Desktop,Firefox,5.199
2025-03,Australia,Desktop,Opera,1.589
2025-03,Australia,Desktop,Brave,1.327
2025-03,Australia,Desktop,DuckDuckGo,0.109
2025-03,Australia,Desktop,AVG,0.094
2025-03,Australia,Desktop,Avast Secure Browser,0.058
2025-03,Australia,Desktop,Yandex Browser,0.016
2025-03,Australia,Desktop,Whale,0.007
2025-03,Australia,Desktop,Aloha Browser,0.002
2025-03,Australia,Desktop,Other,0.002
2025-03,Australia,Desktop,QQ Browser,0.002
2025-03,Australia,Desktop,Sogou Explorer,0.002
2025-03,Australia,Desktop,Vivaldi,0.002
2025-03,Australia,Desktop,Mi Browser,0.001
2025-03,Australia,MacOSX,Chrome,61.312
2025-03,Australia,MacOSX,Safari,33.329
2025-03,Australia,MacOSX,Firefox,2.873
2025-03,Australia,MacOSX,Brave,1.118
2025-03,Australia,MacOSX,Edge,0.63
2025-03,Australia,MacOSX,Opera,0.524
2025-03,Australia,MacOSX,DuckDuckGo,0.205
2025-03,Australia,MacOSX,Aloha Browser,0.003
2025-03,Australia,MacOSX,Yandex Browser,0.003
2025-03,Australia,MacOSX,Avast Secure Browser,0.002
2025-03,Australia,MacOSX,Whale,0.002
2025-03,Australia,MacOSX,AVG,0.001
2025-03,Australia,MacOSX,Vivaldi,0.001
2025-03,Australia,MacOSX,Other,0.0
2025-03,Australia,Mobile,Safari,31.733
2025-03,Australia,Mobile,Chrome,25.174
2025-03,Australia,Mobile,Mobile Safari UI/WKWebView,15.874
2025-03,Australia,Mobile,Facebook,11.371
2025-03,Australia,Mobile,Instagram,5.321
2025-03,Australia,Mobile,Samsung Internet,4.281
2025-03,Australia,Mobile,Chrome Mobile WebView,3.588
2025-03,Australia,Mobile,TikTok,0.601
2025-03,Australia,Mobile,Firefox,0.557
2025-03,Australia,Mobile,Edge,0.386
2025-03,Australia,Mobile,DuckDuckGo,0.343
2025-03,Australia,Mobile,Brave,0.298
2025-03,Australia,Mobile,Snapchat,0.101
2025-03,Australia,Mobile,Twitter,0.069
2025-03,Australia,Mobile,Opera,0.066
2025-03,Australia,Mobile,Pinterest,0.065
2025-03,Australia,Mobile,Aloha Browser,0.052
2025-03,Australia,Mobile,Ecosia,0.029
2025-03,Australia,Mobile,Huawei Browser,0.015
2025-03,Australia,Mobile,UC Browser,0.015
2025-03,Australia,Mobile,Yandex Browser,0.015
2025-03,Australia,Mobile,Mi Browser,0.01
2025-03,Australia,Mobile,Oculus Browser,0.01
2025-03,Australia,Mobile,QQ Browser,0.007
2025-03,Australia,Mobile,KakaoTalk,0.005
2025-03,Australia,Mobile,VivoBrowser,0.005
2025-03,Australia,Mobile,Whale,0.004
2025-03,Australia,Mobile,Instabridge,0.002
2025-03,Australia,Mobile,Avast Secure Browser,0.001
2025-03,Australia,Mobile,HiBrowser,0.001
2025-03,Australia,Mobile,Other,0.001
2025-03,Australia,Windows,Chrome,66.52
2025-03,Australia,Windows,Edge,22.449
2025-03,Australia,Windows,Firefox,6.682
2025-03,Australia,Windows,Opera,2.388
2025-03,Australia,Windows,Brave,1.571
2025-03,Australia,Windows,AVG,0.16
2025-03,Australia,Windows,Avast Secure Browser,0.097
2025-03,Australia,Windows,DuckDuckGo,0.077
2025-03,Australia,Windows,Yandex Browser,0.025
2025-03,Australia,Windows,Whale,0.011
2025-03,Australia,Windows,Safari,0.007
2025-03,Australia,Windows,QQ Browser,0.004
2025-03,Australia,Windows,Sogou Explorer,0.003
2025-03,Australia,Windows,Vivaldi,0.003
2025-03,Australia,Windows,Aloha Browser,0.001
2025-03,Australia,Windows,Huawei Browser,0.001
2025-03,Australia,Windows,Other,0.001
2025-03,Australia,Windows,Wave Browser,0.001
2025-03,Australia,iOS,Safari,47.084
2025-03,Australia,iOS,Mobile Safari UI/WKWebView,23.601
2025-03,Australia,iOS,Facebook,11.526
2025-03,Australia,iOS,Chrome,9.17
2025-03,Australia,iOS,Instagram,6.71
2025-03,Australia,iOS,TikTok,0.792
2025-03,Australia,iOS,Edge,0.283
2025-03,Australia,iOS,DuckDuckGo,0.229
2025-03,Australia,iOS,Firefox,0.198
2025-03,Australia,iOS,Snapchat,0.14
2025-03,Australia,iOS,Twitter,0.097
2025-03,Australia,iOS,Pinterest,0.092
2025-03,Australia,iOS,Aloha Browser,0.041
2025-03,Australia,iOS,Ecosia,0.018
2025-03,Australia,iOS,Yandex Browser,0.008
2025-03,Australia,iOS,KakaoTalk,0.003
2025-03,Australia,iOS,QQ Browser,0.003
2025-03,Australia,iOS,UC Browser,0.002
2025-03,Australia,iOS,Avast Secure Browser,0.001
2025-03,Australia,iOS,Opera,0.001
2025-03,Australia,iOS,Other,0.0
2025-03,Austria,Android,Chrome,61.07
2025-03,Austria,Android,Samsung Internet,13.739
2025-03,Austria,Android,Chrome Mobile WebView,11.903
2025-03,Austria,Android,Facebook,5.393
